Segment,Discount Band,Units Sold,Sale Price,Gross Sales,Discounts,Sales,Profit,Date,Month Number,Month Name,Year,Product_Name,Country,Product
Government,Low,2877.0,350,1006950.0,20139.0,986811.0,238791.0,2014-10-01,10,October,2014,,Germany,VTT
Government,Low,266.0,350,93100.0,1862.0,91238.0,22078.0,2013-12-01,12,December,2013,,United States of America,VTT
Government,Low,1940.0,350,679000.0,13580.0,665420.0,161020.0,2013-12-01,12,December,2013,,Mexico,VTT
Government,Low,2966.0,350,1038100.0,20762.0,1017338.0,246178.0,2013-10-01,10,October,2013,,Germany,Amarilla
Government,Low,1797.0,350,628950.0,18868.5,610081.5,142861.5,2013-09-01,9,September,2013,,Germany,Montana
Government,Low,1642.0,350,574700.0,17241.0,557459.0,130539.0,2014-08-01,8,August,2014,,Mexico,VTT
Government,Low,274.0,350,95900.0,3836.0,92064.0,20824.0,2014-12-01,12,December,2014,,United States of America,Carretera
Government,Low,3450.0,350,1207500.0,48300.0,1159200.0,262200.0,2014-07-01,7,July,2014,,United States of America,Paseo
Government,Low,274.0,350,95900.0,3836.0,92064.0,20824.0,2014-12-01,12,December,2014,,United States of America,Paseo
Government,Low,2177.0,350,761950.0,30478.0,731472.0,165452.0,2014-10-01,10,October,2014,,France,Velo
Government,Low,349.0,350,122150.0,4886.0,117264.0,26524.0,2013-09-01,9,September,2013,,United States of America,VTT
Government,Low,2177.0,350,761950.0,30478.0,731472.0,165452.0,2014-10-01,10,October,2014,,France,VTT
Government,Low,1865.0,350,652750.0,26110.0,626640.0,141740.0,2014-02-01,2,February,2014,,Mexico,Amarilla
Government,Low,1907.0,350,667450.0,26698.0,640752.0,144932.0,2014-09-01,9,September,2014,,Germany,Amarilla
Government,Low,1778.0,350,622300.0,24892.0,597408.0,135128.0,2013-12-01,12,December,2013,,Canada,Amarilla
Government,Medium,1384.5,350,484575.0,24228.75,460346.25,100376.25,2014-01-01,1,January,2014,,France,Montana
Government,Medium,720.0,350,252000.0,12600.0,239400.0,52200.0,2013-09-01,9,September,2013,,Mexico,Montana
Government,Medium,602.0,350,210700.0,10535.0,200165.0,43645.0,2014-06-01,6,June,2014,,United States of America,Paseo
Government,Medium,1228.0,350,429800.0,21490.0,408310.0,89030.0,2013-10-01,10,October,2013,,Canada,Paseo
Government,Medium,602.0,350,210700.0,10535.0,200165.0,43645.0,2014-06-01,6,June,2014,,United States of America,Velo
Government,Medium,1350.0,350,472500.0,23625.0,448875.0,97875.0,2014-02-01,2,February,2014,,Germany,Amarilla
Government,Medium,552.0,350,193200.0,9660.0,183540.0,40020.0,2014-08-01,8,August,2014,,Canada,Amarilla
Government,Medium,1228.0,350,429800.0,21490.0,408310.0,89030.0,2013-10-01,10,October,2013,,Canada,Amarilla
Government,Medium,980.0,350,343000.0,20580.0,322420.0,67620.0,2014-04-01,4,April,2014,,Mexico,Montana
Government,Medium,1460.0,350,511000.0,30660.0,480340.0,100740.0,2014-05-01,5,May,2014,,Germany,Montana
Government,Medium,1496.0,350,523600.0,31416.0,492184.0,103224.0,2014-06-01,6,June,2014,,France,Paseo
Government,Medium,727.0,350,254450.0,15267.0,239183.0,50163.0,2013-10-01,10,October,2013,,United States of America,Paseo
Government,Medium,1496.0,350,523600.0,31416.0,492184.0,103224.0,2014-06-01,6,June,2014,,France,Velo
Government,Medium,2076.0,350,726600.0,43596.0,683004.0,143244.0,2013-10-01,10,October,2013,,France,Velo
Government,Medium,1679.0,350,587650.0,35259.0,552391.0,115851.0,2014-09-01,9,September,2014,,Mexico,Amarilla
Government,Medium,727.0,350,254450.0,15267.0,239183.0,50163.0,2013-10-01,10,October,2013,,United States of America,Amarilla
Government,Medium,2076.0,350,726600.0,43596.0,683004.0,143244.0,2013-10-01,10,October,2013,,France,Amarilla
Government,Medium,1761.0,350,616350.0,43144.5,573205.5,115345.5,2014-03-01,3,March,2014,,United States of America,Carretera
Government,Medium,2876.0,350,1006600.0,70462.0,936138.0,188378.0,2014-09-01,9,September,2014,,France,Amarilla
Government,Medium,1362.0,350,476700.0,38136.0,438564.0,84444.0,2014-12-01,12,December,2014,,Mexico,Carretera
Government,Medium,2146.0,350,751100.0,60088.0,691012.0,133052.0,2013-11-01,11,November,2013,,Germany,Paseo
Government,Medium,1362.0,350,476700.0,38136.0,438564.0,84444.0,2014-12-01,12,December,2014,,Mexico,Paseo
Government,Medium,574.5,350,201075.0,16086.0,184989.0,35619.0,2014-04-01,4,April,2014,,France,VTT
Government,Medium,381.0,350,133350.0,10668.0,122682.0,23622.0,2014-08-01,8,August,2014,,France,VTT
Government,Medium,422.0,350,147700.0,11816.0,135884.0,26164.0,2014-08-01,8,August,2014,,Germany,VTT
Government,Medium,1666.0,350,583100.0,52479.0,530621.0,97461.0,2014-05-01,5,May,2014,,France,Montana
Government,Medium,2417.0,350,845950.0,76135.5,769814.5,141394.5,2014-01-01,1,January,2014,,Mexico,Paseo
Government,Medium,1307.0,350,457450.0,41170.5,416279.5,76459.5,2014-07-01,7,July,2014,,Germany,Velo
Government,Medium,1269.0,350,444150.0,39973.5,404176.5,74236.5,2014-10-01,10,October,2014,,Canada,Velo
Government,Medium,1351.5,350,473025.0,42572.25,430452.75,79062.75,2014-04-01,4,April,2014,,United States of America,VTT
Government,Medium,2071.0,350,724850.0,65236.5,659613.5,121153.5,2014-09-01,9,September,2014,,United States of America,Amarilla
Government,Medium,1269.0,350,444150.0,39973.5,404176.5,74236.5,2014-10-01,10,October,2014,,Canada,Amarilla
Government,High,2313.0,350,809550.0,80955.0,728595.0,127215.0,2014-05-01,5,May,2014,,United States of America,Montana
Government,High,639.0,350,223650.0,22365.0,201285.0,35145.0,2014-07-01,7,July,2014,,France,Velo
Government,High,2807.0,350,982450.0,98245.0,884205.0,154385.0,2014-08-01,8,August,2014,,United States of America,VTT
Government,High,1870.0,350,654500.0,65450.0,589050.0,102850.0,2013-12-01,12,December,2013,,Germany,VTT
Government,High,2240.0,350,784000.0,78400.0,705600.0,123200.0,2014-02-01,2,February,2014,,Canada,Amarilla
Government,High,707.0,350,247450.0,24745.0,222705.0,38885.0,2014-09-01,9,September,2014,,Canada,Amarilla
Government,High,792.0,350,277200.0,30492.0,246708.0,40788.0,2014-03-01,3,March,2014,,Germany,Carretera
Government,High,766.0,350,268100.0,29491.0,238609.0,39449.0,2014-01-01,1,January,2014,,Germany,Montana
Government,High,2104.5,350,736575.0,81023.25,655551.75,108381.75,2014-07-01,7,July,2014,,Canada,Paseo
Government,High,344.0,350,120400.0,13244.0,107156.0,17716.0,2013-10-01,10,October,2013,,Mexico,Velo
Government,High,344.0,350,120400.0,13244.0,107156.0,17716.0,2013-10-01,10,October,2013,,Mexico,Amarilla
Government,High,886.0,350,310100.0,37212.0,272888.0,42528.0,2014-06-01,6,June,2014,,Mexico,Carretera
Government,High,886.0,350,310100.0,37212.0,272888.0,42528.0,2014-06-01,6,June,2014,,Mexico,Paseo
Government,High,1594.0,350,557900.0,66948.0,490952.0,76512.0,2014-11-01,11,November,2014,,France,Paseo
Government,High,1197.0,350,418950.0,50274.0,368676.0,57456.0,2014-11-01,11,November,2014,,Mexico,Paseo
Government,High,1395.0,350,488250.0,58590.0,429660.0,66960.0,2014-07-01,7,July,2014,,Mexico,Velo
Government,High,986.0,350,345100.0,41412.0,303688.0,47328.0,2014-10-01,10,October,2014,,United States of America,Velo
Government,High,623.0,350,218050.0,26166.0,191884.0,29904.0,2013-09-01,9,September,2013,,Canada,VTT
Government,High,986.0,350,345100.0,41412.0,303688.0,47328.0,2014-10-01,10,October,2014,,United States of America,VTT
Government,High,270.0,350,94500.0,11340.0,83160.0,12960.0,2014-02-01,2,February,2014,,United States of America,Amarilla
Government,High,923.0,350,323050.0,41996.5,281053.5,41073.5,2014-03-01,3,March,2014,,Canada,Carretera
Government,High,1790.0,350,626500.0,81445.0,545055.0,79655.0,2014-03-01,3,March,2014,,France,Carretera
Government,High,982.5,350,343875.0,44703.75,299171.25,43721.25,2014-01-01,1,January,2014,,United States of America,Montana
Government,High,2632.0,350,921200.0,119756.0,801444.0,117124.0,2014-06-01,6,June,2014,,Canada,Paseo
Government,High,357.0,350,124950.0,16243.5,108706.5,15886.5,2014-11-01,11,November,2014,,Germany,Paseo
Government,High,2632.0,350,921200.0,119756.0,801444.0,117124.0,2014-06-01,6,June,2014,,Canada,Velo
Government,High,2227.5,350,779625.0,109147.5,670477.5,91327.5,2014-01-01,1,January,2014,,Canada,Montana
Government,High,1199.0,350,419650.0,58751.0,360899.0,49159.0,2014-04-01,4,April,2014,,Germany,Montana
Government,High,200.0,350,70000.0,9800.0,60200.0,8200.0,2014-05-01,5,May,2014,,Canada,Montana
Government,High,700.0,350,245000.0,34300.0,210700.0,28700.0,2014-11-01,11,November,2014,,Canada,Paseo
Government,High,1177.0,350,411950.0,57673.0,354277.0,48257.0,2014-11-01,11,November,2014,,United States of America,Paseo
Government,High,1922.0,350,672700.0,94178.0,578522.0,78802.0,2013-11-01,11,November,2013,,France,Paseo
Government,High,1281.0,350,448350.0,62769.0,385581.0,52521.0,2013-12-01,12,December,2013,,France,VTT
Government,High,2851.0,350,997850.0,149677.5,848172.5,106912.5,2014-05-01,5,May,2014,,Mexico,Paseo
Government,High,2007.0,350,702450.0,105367.5,597082.5,75262.5,2013-11-01,11,November,2013,,United States of America,Paseo
Government,High,2151.0,350,752850.0,112927.5,639922.5,80662.5,2013-11-01,11,November,2013,,Mexico,Paseo
Government,,1618.5,20,32370.0,0.0,32370.0,16185.0,2014-01-01,1,January,2014,,Canada,Carretera
Government,,1321.0,20,26420.0,0.0,26420.0,13210.0,2014-01-01,1,January,2014,,Germany,Carretera
Government,,1899.0,20,37980.0,0.0,37980.0,18990.0,2014-06-01,6,June,2014,,France,Montana
Government,,292.0,20,5840.0,0.0,5840.0,2920.0,2014-02-01,2,February,2014,,Canada,Paseo
Government,,1817.0,20,36340.0,0.0,36340.0,18170.0,2014-12-01,12,December,2014,,Canada,Paseo
Government,,1817.0,20,36340.0,0.0,36340.0,18170.0,2014-12-01,12,December,2014,,Canada,VTT
Government,,1899.0,20,37980.0,0.0,37980.0,18990.0,2014-06-01,6,June,2014,,France,Amarilla
Government,Low,1375.5,20,27510.0,275.1,27234.9,13479.9,2014-07-01,7,July,2014,,France,Montana
Government,Low,3864.0,20,77280.0,772.8,76507.2,37867.2,2014-04-01,4,April,2014,,France,Velo
Government,Low,1566.0,20,31320.0,626.4,30693.6,15033.6,2014-10-01,10,October,2014,,United States of America,Montana
Government,Low,1566.0,20,31320.0,626.4,30693.6,15033.6,2014-10-01,10,October,2014,,United States of America,Velo
Government,Low,544.0,20,10880.0,217.6,10662.4,5222.4,2013-12-01,12,December,2013,,Mexico,Velo
Government,Low,1236.0,20,24720.0,494.4,24225.6,11865.6,2014-11-01,11,November,2014,,United States of America,Amarilla
Government,Low,941.0,20,18820.0,376.4,18443.6,9033.6,2014-11-01,11,November,2014,,France,Amarilla
Government,Low,2580.0,20,51600.0,1548.0,50052.0,24252.0,2014-04-01,4,April,2014,,Germany,Carretera
Government,Low,831.0,20,16620.0,498.6,16121.4,7811.4,2014-05-01,5,May,2014,,Canada,Carretera
Government,Low,3850.5,20,77010.0,2310.3,74699.7,36194.7,2014-04-01,4,April,2014,,Canada,Velo
Government,Low,736.0,20,14720.0,588.8,14131.2,6771.2,2013-09-01,9,September,2013,,United States of America,Velo
Government,Low,2074.0,20,41480.0,1659.2,39820.8,19080.8,2014-09-01,9,September,2014,,Canada,Paseo
Government,Low,1056.0,20,21120.0,844.8,20275.2,9715.2,2014-09-01,9,September,2014,,United States of America,Paseo
Government,Low,2646.0,20,52920.0,2116.8,50803.2,24343.2,2013-09-01,9,September,2013,,Canada,Velo
Government,Medium,1563.0,20,31260.0,1563.0,29697.0,14067.0,2014-05-01,5,May,2014,,France,Carretera
Government,Medium,1303.0,20,26060.0,1303.0,24757.0,11727.0,2014-02-01,2,February,2014,,France,Paseo
Government,Medium,1389.0,20,27780.0,1389.0,26391.0,12501.0,2013-10-01,10,October,2013,,Canada,Paseo
Government,Medium,1802.0,20,36040.0,1802.0,34238.0,16218.0,2013-12-01,12,December,2013,,Canada,Paseo
Government,Medium,2663.0,20,53260.0,2663.0,50597.0,23967.0,2014-12-01,12,December,2014,,United States of America,Paseo
Government,Medium,2832.0,20,56640.0,2832.0,53808.0,25488.0,2014-08-01,8,August,2014,,United States of America,Velo
Government,Medium,1579.0,20,31580.0,1579.0,30001.0,14211.0,2014-08-01,8,August,2014,,France,Velo
Government,Medium,1033.0,20,20660.0,1033.0,19627.0,9297.0,2013-12-01,12,December,2013,,France,Velo
Government,Medium,1389.0,20,27780.0,1389.0,26391.0,12501.0,2013-10-01,10,October,2013,,Canada,VTT
Government,Medium,1265.0,20,25300.0,1265.0,24035.0,11385.0,2013-11-01,11,November,2013,,United States of America,VTT
Government,Medium,2297.0,20,45940.0,2297.0,43643.0,20673.0,2013-11-01,11,November,2013,,Germany,VTT
Government,Medium,2663.0,20,53260.0,2663.0,50597.0,23967.0,2014-12-01,12,December,2014,,United States of America,VTT
Government,Medium,1117.5,20,22350.0,1341.0,21009.0,9834.0,2014-01-01,1,January,2014,,United States of America,Carretera
Government,Medium,1123.0,20,22460.0,1347.6,21112.4,9882.4,2013-11-01,11,November,2013,,Mexico,VTT
Government,Medium,1757.0,20,35140.0,2108.4,33031.6,15461.6,2013-10-01,10,October,2013,,France,Montana
Government,Medium,1757.0,20,35140.0,2108.4,33031.6,15461.6,2013-10-01,10,October,2013,,France,Paseo
Government,Medium,1001.0,20,20020.0,1201.2,18818.8,8808.8,2014-08-01,8,August,2014,,Germany,Velo
Government,Medium,1834.0,20,36680.0,2567.6,34112.4,15772.4,2013-09-01,9,September,2013,,Mexico,Carretera
Government,Medium,1976.0,20,39520.0,2766.4,36753.6,16993.6,2014-10-01,10,October,2014,,France,Montana
Government,Medium,1535.0,20,30700.0,2149.0,28551.0,13201.0,2014-09-01,9,September,2014,,France,Paseo
Government,Medium,609.0,20,12180.0,852.6,11327.4,5237.4,2014-08-01,8,August,2014,,Mexico,Velo
Government,Medium,1976.0,20,39520.0,2766.4,36753.6,16993.6,2014-10-01,10,October,2014,,France,Velo
Government,Medium,1421.0,20,28420.0,1989.4,26430.6,12220.6,2013-12-01,12,December,2013,,United States of America,Velo
Government,Medium,588.0,20,11760.0,823.2,10936.8,5056.8,2013-12-01,12,December,2013,,Germany,Velo
Government,Medium,1118.0,20,22360.0,1565.2,20794.8,9614.8,2014-11-01,11,November,2014,,Canada,Amarilla
Government,Medium,1282.0,20,25640.0,2051.2,23588.8,10768.8,2014-06-01,6,June,2014,,United States of America,Montana
Government,Medium,1282.0,20,25640.0,2051.2,23588.8,10768.8,2014-06-01,6,June,2014,,United States of America,Amarilla
Government,Medium,708.0,20,14160.0,1132.8,13027.2,5947.2,2014-06-01,6,June,2014,,Canada,Montana
Government,Medium,645.0,20,12900.0,1032.0,11868.0,5418.0,2014-07-01,7,July,2014,,Germany,Montana
Government,Medium,1366.0,20,27320.0,2185.6,25134.4,11474.4,2014-06-01,6,June,2014,,Germany,Paseo
Government,Medium,1934.0,20,38680.0,3094.4,35585.6,16245.6,2014-09-01,9,September,2014,,Germany,Paseo
Government,Medium,2993.0,20,59860.0,4788.8,55071.2,25141.2,2014-09-01,9,September,2014,,Mexico,Paseo
Government,Medium,708.0,20,14160.0,1132.8,13027.2,5947.2,2014-06-01,6,June,2014,,Canada,Amarilla
Government,Medium,1366.0,20,27320.0,2185.6,25134.4,11474.4,2014-06-01,6,June,2014,,Germany,Amarilla
Government,Medium,1520.0,20,30400.0,2432.0,27968.0,12768.0,2014-11-01,11,November,2014,,Germany,Amarilla
Government,Medium,436.5,20,8730.0,698.4,8031.6,3666.6,2014-07-01,7,July,2014,,United States of America,VTT
Government,Medium,1694.0,20,33880.0,3049.2,30830.8,13890.8,2014-11-01,11,November,2014,,Mexico,Amarilla
Government,Medium,663.0,20,13260.0,1193.4,12066.6,5436.6,2014-05-01,5,May,2014,,Germany,Carretera
Government,Medium,973.0,20,19460.0,1751.4,17708.6,7978.6,2014-03-01,3,March,2014,,United States of America,Paseo
Government,Medium,1038.0,20,20760.0,1868.4,18891.6,8511.6,2014-06-01,6,June,2014,,Mexico,Paseo
Government,Medium,2682.0,20,53640.0,4827.6,48812.4,21992.4,2013-11-01,11,November,2013,,France,VTT
Government,Medium,1038.0,20,20760.0,1868.4,18891.6,8511.6,2014-06-01,6,June,2014,,Mexico,Amarilla
Government,High,1954.0,20,39080.0,3908.0,35172.0,15632.0,2014-03-01,3,March,2014,,France,Paseo
Government,High,241.0,20,4820.0,482.0,4338.0,1928.0,2014-10-01,10,October,2014,,Germany,Paseo
Government,High,241.0,20,4820.0,482.0,4338.0,1928.0,2014-10-01,10,October,2014,,Germany,Velo
Government,High,2039.0,20,40780.0,4078.0,36702.0,16312.0,2014-05-01,5,May,2014,,Mexico,Amarilla
Government,High,2992.0,20,59840.0,6582.4,53257.6,23337.6,2013-10-01,10,October,2013,,Germany,Montana
Government,High,1122.0,20,22440.0,2468.4,19971.6,8751.6,2014-03-01,3,March,2014,,Mexico,Paseo
Government,High,2394.0,20,47880.0,5266.8,42613.2,18673.2,2014-08-01,8,August,2014,,Canada,Paseo
Government,High,2992.0,20,59840.0,6582.4,53257.6,23337.6,2013-10-01,10,October,2013,,Germany,Paseo
Government,High,2805.0,20,56100.0,6171.0,49929.0,21879.0,2013-09-01,9,September,2013,,France,Velo
Government,High,2935.0,20,58700.0,6457.0,52243.0,22893.0,2013-11-01,11,November,2013,,Canada,VTT
Government,High,2629.0,20,52580.0,5783.8,46796.2,20506.2,2014-01-01,1,January,2014,,Mexico,Amarilla
Government,High,1715.0,20,34300.0,4116.0,30184.0,13034.0,2013-10-01,10,October,2013,,Mexico,Montana
Government,High,905.0,20,18100.0,2172.0,15928.0,6878.0,2014-10-01,10,October,2014,,Mexico,Paseo
Government,High,1715.0,20,34300.0,4116.0,30184.0,13034.0,2013-10-01,10,October,2013,,Mexico,Paseo
Government,High,1233.0,20,24660.0,2959.2,21700.8,9370.8,2014-12-01,12,December,2014,,Mexico,Paseo
Government,High,905.0,20,18100.0,2172.0,15928.0,6878.0,2014-10-01,10,October,2014,,Mexico,Velo
Government,High,1233.0,20,24660.0,2959.2,21700.8,9370.8,2014-12-01,12,December,2014,,Mexico,VTT
Government,High,2521.5,20,50430.0,6051.6,44378.4,19163.4,2014-01-01,1,January,2014,,France,Carretera
Government,High,1531.0,20,30620.0,3674.4,26945.6,11635.6,2014-12-01,12,December,2014,,Germany,Paseo
Government,High,1531.0,20,30620.0,3674.4,26945.6,11635.6,2014-12-01,12,December,2014,,Germany,VTT
Government,High,442.0,20,8840.0,1149.2,7690.8,3270.8,2013-09-01,9,September,2013,,Germany,Carretera
Government,High,2255.0,20,45100.0,5863.0,39237.0,16687.0,2014-07-01,7,July,2014,,Mexico,Montana
Government,High,1249.0,20,24980.0,3247.4,21732.6,9242.6,2014-10-01,10,October,2014,,Canada,Montana
Government,High,2641.0,20,52820.0,6866.6,45953.4,19543.4,2014-02-01,2,February,2014,,United States of America,Paseo
Government,High,2708.0,20,54160.0,7040.8,47119.2,20039.2,2014-02-01,2,February,2014,,Germany,Paseo
Government,High,1249.0,20,24980.0,3247.4,21732.6,9242.6,2014-10-01,10,October,2014,,Canada,Paseo
Government,High,2579.0,20,51580.0,7221.2,44358.8,18568.8,2014-04-01,4,April,2014,,Mexico,Carretera
Government,High,1743.0,20,34860.0,4880.4,29979.6,12549.6,2014-05-01,5,May,2014,,United States of America,Carretera
Government,High,2428.0,20,48560.0,6798.4,41761.6,17481.6,2014-03-01,3,March,2014,,Canada,Paseo
Government,High,260.0,20,5200.0,728.0,4472.0,1872.0,2014-02-01,2,February,2014,,Mexico,Paseo
Government,High,606.0,20,12120.0,1696.8,10423.2,4363.2,2014-04-01,4,April,2014,,United States of America,Velo
Government,High,1158.0,20,23160.0,3474.0,19686.0,8106.0,2014-03-01,3,March,2014,,Germany,Paseo
Government,High,267.0,20,5340.0,801.0,4539.0,1869.0,2013-10-01,10,October,2013,,United States of America,Paseo
Government,High,293.0,20,5860.0,879.0,4981.0,2051.0,2014-12-01,12,December,2014,,France,Paseo
Government,High,865.5,20,17310.0,2596.5,14713.5,6058.5,2014-07-01,7,July,2014,,Canada,VTT
Government,High,267.0,20,5340.0,801.0,4539.0,1869.0,2013-10-01,10,October,2013,,United States of America,VTT
Government,High,293.0,20,5860.0,879.0,4981.0,2051.0,2014-12-01,12,December,2014,,France,VTT
Government,,2146.0,7,15022.0,0.0,15022.0,4292.0,2014-09-01,9,September,2014,,Germany,Montana
Government,,883.0,7,6181.0,0.0,6181.0,1766.0,2014-08-01,8,August,2014,,Mexico,Paseo
Government,,1143.0,7,8001.0,0.0,8001.0,2286.0,2014-10-01,10,October,2014,,United States of America,Paseo
Government,,1493.0,7,10451.0,0.0,10451.0,2986.0,2014-01-01,1,January,2014,,Mexico,Velo
Government,,1686.0,7,11802.0,0.0,11802.0,3372.0,2014-07-01,7,July,2014,,Germany,Amarilla
Government,,1143.0,7,8001.0,0.0,8001.0,2286.0,2014-10-01,10,October,2014,,United States of America,Amarilla
Government,Low,3945.0,7,27615.0,276.15,27338.85,7613.85,2014-01-01,1,January,2014,,France,Paseo
Government,Low,1030.0,7,7210.0,72.1,7137.9,1987.9,2014-05-01,5,May,2014,,France,Paseo
Government,Low,639.0,7,4473.0,44.73,4428.27,1233.27,2014-11-01,11,November,2014,,France,Velo
Government,Low,1326.0,7,9282.0,92.82,9189.18,2559.18,2014-03-01,3,March,2014,,Canada,VTT
Government,Low,2529.0,7,17703.0,177.03,17525.97,4880.97,2014-07-01,7,July,2014,,United States of America,Carretera
Government,Low,1830.0,7,12810.0,128.1,12681.9,3531.9,2014-08-01,8,August,2014,,Canada,Montana
Government,Low,4492.5,7,31447.5,314.475,31133.025,8670.525,2014-04-01,4,April,2014,,United States of America,Paseo
Government,Low,362.0,7,2534.0,25.34,2508.66,698.66,2014-05-01,5,May,2014,,Mexico,Velo
Government,Low,2092.0,7,14644.0,146.44,14497.56,4037.56,2013-11-01,11,November,2013,,Canada,Velo
Government,Low,263.0,7,1841.0,18.41,1822.59,507.59,2014-03-01,3,March,2014,,Germany,VTT
Government,Low,2145.0,7,15015.0,300.3,14714.7,3989.7,2013-11-01,11,November,2013,,France,Carretera
Government,Low,2013.0,7,14091.0,281.82,13809.18,3744.18,2013-12-01,12,December,2013,,United States of America,Paseo
Government,Low,1958.0,7,13706.0,411.18,13294.82,3504.82,2014-02-01,2,February,2014,,Germany,Montana
Government,Low,544.0,7,3808.0,114.24,3693.76,973.76,2014-09-01,9,September,2014,,France,Montana
Government,Low,1760.0,7,12320.0,369.6,11950.4,3150.4,2013-09-01,9,September,2013,,Mexico,Paseo
Government,Low,2851.0,7,19957.0,798.28,19158.72,4903.72,2013-10-01,10,October,2013,,Canada,Carretera
Government,Low,2851.0,7,19957.0,798.28,19158.72,4903.72,2013-10-01,10,October,2013,,Canada,Montana
Government,Low,4251.0,7,29757.0,1190.28,28566.72,7311.72,2014-01-01,1,January,2014,,Canada,Paseo
Government,Medium,1159.0,7,8113.0,405.65,7707.35,1912.35,2013-10-01,10,October,2013,,Germany,Montana
Government,Medium,1372.0,7,9604.0,480.2,9123.8,2263.8,2014-01-01,1,January,2014,,Germany,Paseo
Government,Medium,2349.0,7,16443.0,822.15,15620.85,3875.85,2013-09-01,9,September,2013,,Canada,Paseo
Government,Medium,2689.0,7,18823.0,941.15,17881.85,4436.85,2014-10-01,10,October,2014,,Mexico,Paseo
Government,Medium,2689.0,7,18823.0,941.15,17881.85,4436.85,2014-10-01,10,October,2014,,Mexico,VTT
Government,Medium,1683.0,7,11781.0,589.05,11191.95,2776.95,2014-07-01,7,July,2014,,Mexico,Amarilla
Government,Medium,1159.0,7,8113.0,405.65,7707.35,1912.35,2013-10-01,10,October,2013,,Germany,Amarilla
Government,Medium,1016.0,7,7112.0,355.6,6756.4,1676.4,2013-11-01,11,November,2013,,Germany,Carretera
Government,Medium,570.0,7,3990.0,199.5,3790.5,940.5,2014-12-01,12,December,2014,,United States of America,Carretera
Government,Medium,2487.0,7,17409.0,870.45,16538.55,4103.55,2014-12-01,12,December,2014,,France,Carretera
Government,Medium,2327.0,7,16289.0,814.45,15474.55,3839.55,2014-05-01,5,May,2014,,United States of America,Paseo
Government,Medium,2136.0,7,14952.0,747.6,14204.4,3524.4,2013-12-01,12,December,2013,,France,Paseo
Government,Medium,570.0,7,3990.0,199.5,3790.5,940.5,2014-12-01,12,December,2014,,United States of America,VTT
Government,Medium,2487.0,7,17409.0,870.45,16538.55,4103.55,2014-12-01,12,December,2014,,France,VTT
Government,Medium,263.0,7,1841.0,110.46,1730.54,415.54,2013-11-01,11,November,2013,,United States of America,Carretera
Government,Medium,1403.0,7,9821.0,589.26,9231.74,2216.74,2013-10-01,10,October,2013,,France,Montana
Government,Medium,1498.0,7,10486.0,629.16,9856.84,2366.84,2014-06-01,6,June,2014,,Mexico,Velo
Government,Medium,1498.0,7,10486.0,629.16,9856.84,2366.84,2014-06-01,6,June,2014,,Mexico,VTT
Government,Medium,1403.0,7,9821.0,589.26,9231.74,2216.74,2013-10-01,10,October,2013,,France,Amarilla
Government,Medium,1333.0,7,9331.0,559.86,8771.14,2106.14,2014-11-01,11,November,2014,,Mexico,Velo
Government,Medium,1031.0,7,7217.0,505.19,6711.81,1556.81,2013-09-01,9,September,2013,,France,Paseo
Government,Medium,1135.0,7,7945.0,556.15,7388.85,1713.85,2014-06-01,6,June,2014,,Canada,Velo
Government,Medium,547.0,7,3829.0,268.03,3560.97,825.97,2014-11-01,11,November,2014,,United States of America,Velo
