Segment,Units Sold,Manufacturing Price,COGS,Date,Month Number,Month Name,Year,Product_Name,Country,Product
Government,1976.0,5,19760.0,2014-10-01,10,October,2014,,France,Montana
Government,1535.0,10,15350.0,2014-09-01,9,September,2014,,France,Paseo
Government,609.0,120,6090.0,2014-08-01,8,August,2014,,Mexico,Velo
Government,1976.0,120,19760.0,2014-10-01,10,October,2014,,France,Velo
Government,1421.0,120,14210.0,2013-12-01,12,December,2013,,United States of America,Velo
Government,588.0,120,5880.0,2013-12-01,12,December,2013,,Germany,Velo
Government,1118.0,260,11180.0,2014-11-01,11,November,2014,,Canada,Amarilla
Government,1282.0,5,12820.0,2014-06-01,6,June,2014,,United States of America,Montana
Government,1282.0,260,12820.0,2014-06-01,6,June,2014,,United States of America,Amarilla
Government,708.0,5,7080.0,2014-06-01,6,June,2014,,Canada,Montana
Government,645.0,5,6450.0,2014-07-01,7,July,2014,,Germany,Montana
Government,1366.0,10,13660.0,2014-06-01,6,June,2014,,Germany,Paseo
Government,1934.0,10,19340.0,2014-09-01,9,September,2014,,Germany,Paseo
Government,2993.0,10,29930.0,2014-09-01,9,September,2014,,Mexico,Paseo
Government,708.0,260,7080.0,2014-06-01,6,June,2014,,Canada,Amarilla
Government,1366.0,260,13660.0,2014-06-01,6,June,2014,,Germany,Amarilla
Government,1520.0,260,15200.0,2014-11-01,11,November,2014,,Germany,Amarilla
Government,436.5,250,4365.0,2014-07-01,7,July,2014,,United States of America,VTT
Government,1694.0,260,16940.0,2014-11-01,11,November,2014,,Mexico,Amarilla
Government,663.0,3,6630.0,2014-05-01,5,May,2014,,Germany,Carretera
Government,973.0,10,9730.0,2014-03-01,3,March,2014,,United States of America,Paseo
Government,1038.0,10,10380.0,2014-06-01,6,June,2014,,Mexico,Paseo
Government,2682.0,250,26820.0,2013-11-01,11,November,2013,,France,VTT
Government,1038.0,260,10380.0,2014-06-01,6,June,2014,,Mexico,Amarilla
Government,1954.0,10,19540.0,2014-03-01,3,March,2014,,France,Paseo
Government,241.0,10,2410.0,2014-10-01,10,October,2014,,Germany,Paseo
Government,241.0,120,2410.0,2014-10-01,10,October,2014,,Germany,Velo
Government,2039.0,260,20390.0,2014-05-01,5,May,2014,,Mexico,Amarilla
Government,2992.0,5,29920.0,2013-10-01,10,October,2013,,Germany,Montana
Government,1122.0,10,11220.0,2014-03-01,3,March,2014,,Mexico,Paseo
Government,2394.0,10,23940.0,2014-08-01,8,August,2014,,Canada,Paseo
Government,2992.0,10,29920.0,2013-10-01,10,October,2013,,Germany,Paseo
Government,2805.0,120,28050.0,2013-09-01,9,September,2013,,France,Velo
Government,2935.0,250,29350.0,2013-11-01,11,November,2013,,Canada,VTT
Government,2629.0,260,26290.0,2014-01-01,1,January,2014,,Mexico,Amarilla
Government,1715.0,5,17150.0,2013-10-01,10,October,2013,,Mexico,Montana
Government,905.0,10,9050.0,2014-10-01,10,October,2014,,Mexico,Paseo
Government,1715.0,10,17150.0,2013-10-01,10,October,2013,,Mexico,Paseo
Government,1233.0,10,12330.0,2014-12-01,12,December,2014,,Mexico,Paseo
Government,905.0,120,9050.0,2014-10-01,10,October,2014,,Mexico,Velo
Government,1233.0,250,12330.0,2014-12-01,12,December,2014,,Mexico,VTT
Government,2521.5,3,25215.0,2014-01-01,1,January,2014,,France,Carretera
Government,1531.0,10,15310.0,2014-12-01,12,December,2014,,Germany,Paseo
Government,1531.0,250,15310.0,2014-12-01,12,December,2014,,Germany,VTT
Government,442.0,3,4420.0,2013-09-01,9,September,2013,,Germany,Carretera
Government,2255.0,5,22550.0,2014-07-01,7,July,2014,,Mexico,Montana
Government,1249.0,5,12490.0,2014-10-01,10,October,2014,,Canada,Montana
Government,2641.0,10,26410.0,2014-02-01,2,February,2014,,United States of America,Paseo
Government,2708.0,10,27080.0,2014-02-01,2,February,2014,,Germany,Paseo
Government,1249.0,10,12490.0,2014-10-01,10,October,2014,,Canada,Paseo
Government,2579.0,3,25790.0,2014-04-01,4,April,2014,,Mexico,Carretera
Government,1743.0,3,17430.0,2014-05-01,5,May,2014,,United States of America,Carretera
Government,2428.0,10,24280.0,2014-03-01,3,March,2014,,Canada,Paseo
Government,260.0,10,2600.0,2014-02-01,2,February,2014,,Mexico,Paseo
Government,606.0,120,6060.0,2014-04-01,4,April,2014,,United States of America,Velo
Government,1158.0,10,11580.0,2014-03-01,3,March,2014,,Germany,Paseo
Government,267.0,10,2670.0,2013-10-01,10,October,2013,,United States of America,Paseo
Government,293.0,10,2930.0,2014-12-01,12,December,2014,,France,Paseo
Government,865.5,250,8655.0,2014-07-01,7,July,2014,,Canada,VTT
Government,267.0,250,2670.0,2013-10-01,10,October,2013,,United States of America,VTT
Government,293.0,250,2930.0,2014-12-01,12,December,2014,,France,VTT
Government,2146.0,5,10730.0,2014-09-01,9,September,2014,,Germany,Montana
Government,883.0,10,4415.0,2014-08-01,8,August,2014,,Mexico,Paseo
Government,1143.0,10,5715.0,2014-10-01,10,October,2014,,United States of America,Paseo
Government,1493.0,120,7465.0,2014-01-01,1,January,2014,,Mexico,Velo
Government,1686.0,260,8430.0,2014-07-01,7,July,2014,,Germany,Amarilla
Government,1143.0,260,5715.0,2014-10-01,10,October,2014,,United States of America,Amarilla
Government,3945.0,10,19725.0,2014-01-01,1,January,2014,,France,Paseo
Government,1030.0,10,5150.0,2014-05-01,5,May,2014,,France,Paseo
Government,639.0,120,3195.0,2014-11-01,11,November,2014,,France,Velo
Government,1326.0,250,6630.0,2014-03-01,3,March,2014,,Canada,VTT
Government,2529.0,3,12645.0,2014-07-01,7,July,2014,,United States of America,Carretera
Government,1830.0,5,9150.0,2014-08-01,8,August,2014,,Canada,Montana
Government,4492.5,10,22462.5,2014-04-01,4,April,2014,,United States of America,Paseo
Government,362.0,120,1810.0,2014-05-01,5,May,2014,,Mexico,Velo
Government,2092.0,120,10460.0,2013-11-01,11,November,2013,,Canada,Velo
Government,263.0,250,1315.0,2014-03-01,3,March,2014,,Germany,VTT
Government,2145.0,3,10725.0,2013-11-01,11,November,2013,,France,Carretera
Government,2013.0,10,10065.0,2013-12-01,12,December,2013,,United States of America,Paseo
Government,1958.0,5,9790.0,2014-02-01,2,February,2014,,Germany,Montana
Government,544.0,5,2720.0,2014-09-01,9,September,2014,,France,Montana
Government,1760.0,10,8800.0,2013-09-01,9,September,2013,,Mexico,Paseo
Government,2851.0,3,14255.0,2013-10-01,10,October,2013,,Canada,Carretera
Government,2851.0,5,14255.0,2013-10-01,10,October,2013,,Canada,Montana
Government,4251.0,10,21255.0,2014-01-01,1,January,2014,,Canada,Paseo
Government,1159.0,5,5795.0,2013-10-01,10,October,2013,,Germany,Montana
Government,1372.0,10,6860.0,2014-01-01,1,January,2014,,Germany,Paseo
Government,2349.0,10,11745.0,2013-09-01,9,September,2013,,Canada,Paseo
Government,2689.0,10,13445.0,2014-10-01,10,October,2014,,Mexico,Paseo
Government,2689.0,250,13445.0,2014-10-01,10,October,2014,,Mexico,VTT
Government,1683.0,260,8415.0,2014-07-01,7,July,2014,,Mexico,Amarilla
Government,1159.0,260,5795.0,2013-10-01,10,October,2013,,Germany,Amarilla
Government,1016.0,3,5080.0,2013-11-01,11,November,2013,,Germany,Carretera
Government,570.0,3,2850.0,2014-12-01,12,December,2014,,United States of America,Carretera
Government,2487.0,3,12435.0,2014-12-01,12,December,2014,,France,Carretera
Government,2327.0,10,11635.0,2014-05-01,5,May,2014,,United States of America,Paseo
Government,2136.0,10,10680.0,2013-12-01,12,December,2013,,France,Paseo
Government,570.0,250,2850.0,2014-12-01,12,December,2014,,United States of America,VTT
Government,2487.0,250,12435.0,2014-12-01,12,December,2014,,France,VTT
Government,263.0,3,1315.0,2013-11-01,11,November,2013,,United States of America,Carretera
Government,1403.0,5,7015.0,2013-10-01,10,October,2013,,France,Montana
Government,1498.0,120,7490.0,2014-06-01,6,June,2014,,Mexico,Velo
Government,1498.0,250,7490.0,2014-06-01,6,June,2014,,Mexico,VTT
Government,1403.0,260,7015.0,2013-10-01,10,October,2013,,France,Amarilla
Government,1333.0,120,6665.0,2014-11-01,11,November,2014,,Mexico,Velo
Government,1031.0,10,5155.0,2013-09-01,9,September,2013,,France,Paseo
Government,1135.0,120,5675.0,2014-06-01,6,June,2014,,Canada,Velo
Government,547.0,120,2735.0,2014-11-01,11,November,2014,,United States of America,Velo
Government,1582.0,120,7910.0,2014-12-01,12,December,2014,,Canada,Velo
Government,1582.0,250,7910.0,2014-12-01,12,December,2014,,Canada,VTT
Government,1135.0,260,5675.0,2014-06-01,6,June,2014,,Canada,Amarilla
Government,2125.0,10,10625.0,2013-12-01,12,December,2013,,Germany,Paseo
Government,488.0,5,2440.0,2014-02-01,2,February,2014,,Canada,Montana
Government,257.0,10,1285.0,2014-05-01,5,May,2014,,Canada,Paseo
Government,1259.0,10,6295.0,2014-04-01,4,April,2014,,Germany,Paseo
Government,1095.0,10,5475.0,2014-05-01,5,May,2014,,Germany,Paseo
Government,678.0,10,3390.0,2014-08-01,8,August,2014,,United States of America,Paseo
Government,1598.0,10,7990.0,2014-08-01,8,August,2014,,Germany,Paseo
Government,2409.0,10,12045.0,2013-09-01,9,September,2013,,Germany,Paseo
Government,1946.0,10,9730.0,2013-12-01,12,December,2013,,Mexico,Paseo
Government,2907.0,120,14535.0,2014-06-01,6,June,2014,,United States of America,Velo
Government,2338.0,120,11690.0,2014-06-01,6,June,2014,,Germany,Velo
Government,2338.0,250,11690.0,2014-06-01,6,June,2014,,Germany,VTT
Government,2907.0,260,14535.0,2014-06-01,6,June,2014,,United States of America,Amarilla
Government,1611.0,5,8055.0,2013-12-01,12,December,2013,,Canada,Montana
Government,819.0,3,4095.0,2014-07-01,7,July,2014,,Canada,Carretera
Government,521.0,3,2605.0,2014-12-01,12,December,2014,,Mexico,Carretera
Government,360.0,10,1800.0,2014-10-01,10,October,2014,,Germany,Paseo
Government,360.0,250,1800.0,2014-10-01,10,October,2014,,Germany,VTT
Government,521.0,250,2605.0,2014-12-01,12,December,2014,,Mexico,VTT
Government,2328.0,5,11640.0,2014-09-01,9,September,2014,,United States of America,Montana
Government,2665.0,120,13325.0,2014-11-01,11,November,2014,,Germany,Velo
Government,2532.0,10,12660.0,2014-04-01,4,April,2014,,France,Paseo
Government,1579.0,250,7895.0,2014-03-01,3,March,2014,,United States of America,VTT
Government,2706.0,3,13530.0,2013-11-01,11,November,2013,,Mexico,Carretera
Government,1808.0,120,9040.0,2014-11-01,11,November,2014,,Canada,Velo
Government,380.0,10,1900.0,2013-09-01,9,September,2013,,United States of America,Paseo
Government,2420.0,5,12100.0,2014-09-01,9,September,2014,,Mexico,Montana
Government,2734.0,5,13670.0,2014-10-01,10,October,2014,,Canada,Montana
Government,3421.5,260,17107.5,2014-07-01,7,July,2014,,France,Amarilla
Government,2734.0,260,13670.0,2014-10-01,10,October,2014,,Canada,Amarilla
Government,1491.0,250,7455.0,2014-03-01,3,March,2014,,France,VTT
Government,1298.0,5,6490.0,2014-02-01,2,February,2014,,United States of America,Montana
Government,1438.5,10,7192.5,2014-01-01,1,January,2014,,United States of America,Paseo
Government,2696.0,10,13480.0,2014-08-01,8,August,2014,,France,Paseo
Government,1190.0,120,5950.0,2014-06-01,6,June,2014,,France,Velo
Government,1190.0,260,5950.0,2014-06-01,6,June,2014,,France,Amarilla
Government,2996.0,3,14980.0,2013-10-01,10,October,2013,,United States of America,Carretera
Government,280.0,3,1400.0,2014-12-01,12,December,2014,,Germany,Carretera
Government,293.0,5,1465.0,2014-02-01,2,February,2014,,France,Montana
Government,2996.0,5,14980.0,2013-10-01,10,October,2013,,United States of America,Montana
Government,280.0,250,1400.0,2014-12-01,12,December,2014,,Germany,VTT
Government,388.0,5,1940.0,2014-09-01,9,September,2014,,Canada,Montana
Government,1727.0,5,8635.0,2013-10-01,10,October,2013,,Mexico,Montana
Government,1731.0,10,8655.0,2014-10-01,10,October,2014,,France,Paseo
Government,2903.0,250,14515.0,2014-03-01,3,March,2014,,Mexico,VTT
Government,1731.0,260,8655.0,2014-10-01,10,October,2014,,France,Amarilla
Government,1727.0,260,8635.0,2013-10-01,10,October,2013,,Mexico,Amarilla
Government,2535.0,10,12675.0,2014-04-01,4,April,2014,,Mexico,Paseo
Government,1368.0,5,6840.0,2014-02-01,2,February,2014,,Mexico,Montana
Government,723.0,10,3615.0,2014-04-01,4,April,2014,,Canada,Paseo
Midmarket,2178.0,3,21780.0,2014-06-01,6,June,2014,,France,Carretera
Midmarket,888.0,3,8880.0,2014-06-01,6,June,2014,,Germany,Carretera
Midmarket,2470.0,3,24700.0,2014-06-01,6,June,2014,,Mexico,Carretera
Midmarket,921.0,5,9210.0,2014-03-01,3,March,2014,,Germany,Montana
Channel Partners,2518.0,5,7554.0,2014-06-01,6,June,2014,,Canada,Montana
Channel Partners,1545.0,5,4635.0,2014-06-01,6,June,2014,,Germany,Montana
Midmarket,2470.0,5,24700.0,2014-06-01,6,June,2014,,Mexico,Montana
Enterprise,2665.5,5,319860.0,2014-07-01,7,July,2014,,Canada,Montana
Small Business,958.0,5,239500.0,2014-08-01,8,August,2014,,Mexico,Montana
Enterprise,345.0,5,41400.0,2013-10-01,10,October,2013,,Canada,Montana
Midmarket,615.0,5,6150.0,2014-12-01,12,December,2014,,United States of America,Montana
Enterprise,1804.0,120,216480.0,2014-02-01,2,February,2014,,France,Velo
Channel Partners,2161.0,120,6483.0,2014-03-01,3,March,2014,,Germany,Velo
Channel Partners,1545.0,120,4635.0,2014-06-01,6,June,2014,,Germany,Velo
Enterprise,2821.0,120,338520.0,2014-08-01,8,August,2014,,United States of America,Velo
Enterprise,345.0,120,41400.0,2013-10-01,10,October,2013,,Canada,Velo
Small Business,2001.0,250,500250.0,2014-02-01,2,February,2014,,Canada,VTT
Channel Partners,2838.0,250,8514.0,2014-04-01,4,April,2014,,Germany,VTT
Midmarket,2178.0,250,21780.0,2014-06-01,6,June,2014,,France,VTT
Midmarket,888.0,250,8880.0,2014-06-01,6,June,2014,,Germany,VTT
Small Business,2151.0,250,537750.0,2014-09-01,9,September,2014,,France,VTT
Channel Partners,1953.0,260,5859.0,2014-04-01,4,April,2014,,United States of America,Amarilla
Enterprise,4219.5,260,506340.0,2014-04-01,4,April,2014,,Germany,Amarilla
Channel Partners,2141.0,260,6423.0,2014-08-01,8,August,2014,,United States of America,Amarilla
Midmarket,615.0,260,6150.0,2014-12-01,12,December,2014,,United States of America,Amarilla
Channel Partners,1858.0,3,5574.0,2014-02-01,2,February,2014,,United States of America,Carretera
Channel Partners,1445.0,3,4335.0,2014-09-01,9,September,2014,,Canada,Carretera
Enterprise,330.0,3,39600.0,2013-09-01,9,September,2013,,United States of America,Carretera
Channel Partners,2671.0,3,8013.0,2014-09-01,9,September,2014,,France,Carretera
Channel Partners,766.0,3,2298.0,2013-10-01,10,October,2013,,Germany,Carretera
Small Business,494.0,3,123500.0,2013-10-01,10,October,2013,,Mexico,Carretera
Midmarket,2214.0,5,22140.0,2014-03-01,3,March,2014,,Mexico,Montana
Small Business,2301.0,5,575250.0,2014-04-01,4,April,2014,,United States of America,Montana
Small Business,2498.0,5,624500.0,2013-09-01,9,September,2013,,United States of America,Montana
Enterprise,663.0,5,79560.0,2013-10-01,10,October,2013,,United States of America,Montana
Enterprise,923.0,120,110760.0,2014-08-01,8,August,2014,,Canada,Velo
Enterprise,663.0,120,79560.0,2013-10-01,10,October,2013,,United States of America,Velo
Enterprise,727.0,250,87240.0,2014-06-01,6,June,2014,,United States of America,VTT
Enterprise,787.0,250,94440.0,2014-06-01,6,June,2014,,France,VTT
Small Business,986.0,250,246500.0,2014-09-01,9,September,2014,,Germany,VTT
Small Business,494.0,250,123500.0,2013-10-01,10,October,2013,,Mexico,VTT
Enterprise,1744.0,250,209280.0,2014-11-01,11,November,2014,,France,VTT
Channel Partners,1989.0,260,5967.0,2013-09-01,9,September,2013,,United States of America,Amarilla
Midmarket,321.0,260,3210.0,2013-11-01,11,November,2013,,France,Amarilla
Enterprise,742.5,3,89100.0,2014-04-01,4,April,2014,,Canada,Carretera
Channel Partners,1295.0,3,3885.0,2014-10-01,10,October,2014,,Canada,Carretera
Small Business,214.0,3,53500.0,2013-10-01,10,October,2013,,Germany,Carretera
Channel Partners,1142.0,5,3426.0,2014-06-01,6,June,2014,,United States of America,Montana
Channel Partners,690.0,5,2070.0,2014-11-01,11,November,2014,,Mexico,Montana
Enterprise,1660.0,5,199200.0,2013-11-01,11,November,2013,,Mexico,Montana
Enterprise,809.0,120,97080.0,2013-10-01,10,October,2013,,Germany,Velo
Enterprise,2145.0,120,257400.0,2013-10-01,10,October,2013,,Mexico,Velo
Channel Partners,1055.0,120,3165.0,2014-12-01,12,December,2014,,France,Velo
Channel Partners,1084.0,120,3252.0,2014-12-01,12,December,2014,,Mexico,Velo
Enterprise,662.0,250,79440.0,2014-06-01,6,June,2014,,Mexico,VTT
Small Business,214.0,250,53500.0,2013-10-01,10,October,2013,,Germany,VTT
Enterprise,2729.0,250,327480.0,2014-12-01,12,December,2014,,Canada,VTT
